Hanan Runasimi,English,Ima simi,Español,Qusqu,Qosqo,Aymara
qata,blanket; cover; coverage; bedding; blanket; covering; the side of a hill,s.,cubierta; manta; frazada; cobija; colcha; abrigo; sábana; cobertor; cuñado; manto,qata,qata,
qata,roof,s.(arc),techo,qata,qata,
qata,"mountainside, hillside",s.(geo),ladera,,,
Qatachillay,Southern Cross (constellation) or Pleiades,s.(ast),constelación de la Cruz del Sur o de los Pléyades,,,
qatachiy,to make cover,v.tr.,hacer tapar,,,
qatakuna,covering; blankets; bedding; clothes,s.(tex),cobija; ropa; cobija de la cama; frazadas; mantas; colcha,qatakuna,qatakuna,hanakhataña; lanakhatasiña
qatakuy,to cover oneself,v.intr.,taparse; cubrirse; cobijarse; abrigarse,qatakuy,qatakuy,
qatallikuy,to cover oneself up,v.intr.,abrigarse,,,
qata masi,two people whose husbands or wives are brothers or sisters,s.,concuñado,,,
Qatam sumaqcha!,the roof looks nice,expr.,el techo se ve bien,Qatan sumaqcha!,Qatan sumaqcha!,
qatamuy,to go to cover,v.tr.,ir a cubrir o techar,,,
qatana,cover; wraps; shelter,s.,cubierta; abrigo; cobija; cama; frazada,qatana,qatana,
qatapa,cape,s.,capa,,,
qatapuy,to cover something for someone else,v.tr.,tapárselo; techárselo,,,
qataray,to uncover,v.tr.,abrir; quitar la cubierta,,,
qatariy,to insist; to urge,v.tr.,insistir en; impeler,qatariy,qatariy,
qatasqa,covered,p.p.p.,cubierto; tapado; abrigado y techado; abrigado,qatasqa,qatasqa,
qatasqa,roof,s.,techo,,,
qatawa,kind of medicinal plant of the jungle; possumwood; sandbox tree; dynamite tree,s.(bot)(amz),"catahua; especie de planta medicinal de la selva; especie de árbol selvatico de gran desarrollo. La corteza da una resina terriblemente cáustica y venenosa, empleada en las pescas y en la composición del curare. Con ella se han preparado inyecciones contra la lepra con malos resultados. La semilla da un aceite venenoso y, tomada en infusión, provoca fuertes vsmitos. El cortar o aserrar este arbol es siempre peligroso, pues puede saltar alguna viruta a los ojos y provocar la pérdida de la vista por su fuerte poder cáustico. Para trabajarlo innocuamente seria necesario tenerlo varios meses en el agua y para entones su madera ya no valdrma, pues es floja y de mala fibra",,,
qatay,brother-in-law,s.(fam),cuñado,,,
qatay,to cover; to cover up; to cover,v.tr.,"cubrir; tapar; abrigar; cobijar; techar; poner el techo; cobijarse; cubrirse; cubrir con cobija, manta; cubrir con manta o con techo; defender",qatay,qatay,
qataykachay,to cover; to cover again,v.tr.,cubrir; recubrir,,,
qataykukuy,to cover oneself,v.intr.,cobijarse,qataykukuy,qataykukuy,
qataykuy,to cover again,v.tr.,recobrir; cobrir de nuevo; cobijar,qataykuy,qataykuy,
qatay masi,two people whose husbands or wives are brothers or sisters,adj.,concuñado; concuñada,qataymasi,qataymasi,
qatichay,prose,s.(ass),prosa,,,
qatichikuy,to imitate,v.tr.,imitar,qatichikuy,qatichikuy,
qatichiy,to make follow,v.tr.,hacer seguir; rastrear,,,
qatichiy,to imitate,v.tr.(ass),imitar,qatichiy,qatichiy,
qatikachay,to pursue; to persecute; to course,v.tr.,perseguir; acosar,qatikachay,qatikachay,
qatikipay,sequence,s.,secuencia,,,arktawi
qatikipay pacha,chronological sequence,s.,secuencia cronológica,,,pacha sartawi
qatilla unquy,epidemic,s.(med),epidemia,,,
qatimuy,to drive an animal or person for oneself,v.tr.,arreárselo; traérselo,,,
qatinalla,pattern; model,s.,modelo,,,
qatinlla,continuous; periodical,adj.,contínuo; periódico,,,
qatin qatin,succession,s.,sucesión,,,arkasiwi
qatintin yupaykuna,order of numbers,s.(mat),serie numérica,,,
qatipa,grovelling,adj.,rastrero,,,
qati paqtachiq,indirect object,s.(gra),complemento indirecto,,,
qatipay,succession; pursuit; trailing,s.,seguimiento,,,arktawi
qatipay,to follow a river uphill; to follow; to track; to trail,v.tr.(1),seguir un río cuesta arriba; seguir; perseguir; suceder; rastrear,,,
qatipay,to singe,v.tr.(2),chamuscar,,,
qatipayay,to persecute; to course,v.tr.,perseguir; acosar; seguir mucho a uno,qatipayay,qatipayay,
qatipi,immediately after,adv.t.,en seguida; inmediatamente después; a continuación,,,
qatipuy,to drive an animal or person for someone,v.tr.,rastreárselo; arreárselo,,,
qatiq,consecutive; following; next,adj.,consecutivo; próximo; siguiente,qatiq,qatiq; qateq,
qatiq,follower; imitator,s.,el que sigue; imitador; seguidor,,,
qatiq,effect,s.(ass),efecto; continuación,qatiq,qatiq,
qati-qatilla,one after the other,adv.m.,uno después del otro; hilera; en serie,qati qatilla,qati qatilla,
qatiqay,to drive to the other side,v.tr.,arrear a otro lado,,,
qatiq iñu,abbreviation point,s.(gra),punto seguido; punto de abreviatura,,,
qatiqlla,infectious,adj.(med),contagioso,,,
qatiqlla unquy,infectious disease,s.(med),enfermedad contagiosa,,,
qatiq manyaypurachi,cosine,s.(mat),coseno,,,
qatiq manyaypuramuchi,secant,s.(mat),secante,,,
qatiqnin,consecutive,adj.,consecutivo; siguiente,qatiqnin,qatiqnin,
qatiqnin,consequent,s.pr.(mat),consecuente,qatiqnin,qatiqnin,
qatiqñiy,to narrate; to tell,v.dic.,narrar,,,
qatiq runa,animal driver; drover; mule driver,s.,arriero,,,khumuri
qatiq unquy,epidemic,s.(med),epidemia,,,
qatiriy,to compel; to force; to oblige; to follow; to start following,v.tr.,obligar; forzar; seguir; arrear; instar; acosar,qatiriy,qatiriy,
qatiriyay,to course,v.tr.,acosar,,,
qatislla,consequence,s.,consecuencia,,,
qatisun,let's carry on,expr.,seguimos,,,
qatisuyu rikuchiq iñu,intercardinal points of the compass,s.(geo)(neo),puntos colaterales,,,
qatiy,succession; pursuit; trailing,s.(1),seguimiento,,,arktawi
qatiy,hierarchy; time; era,s.(ass),jerarquía; tiempo,qatiy,qatiy,
qatiy,to follow; to drive; to lead,v.tr.,seguir; perseguir; arrear; ahuyentar; llevar; conducir; continuar; suceder en orden; ir detrás de uno; conducir ganado; apremiar; proseguir,qatiy,qatiy,anakitaña
qatiy,to infect,v.tr.(med),contagiar; infeccionar,,,
qatiyachiy,sequence,s.,secuencia,,,arktawi
qatiyachiy pacha,chronological sequence,s.,secuencia cronológica,,,pacha sartawi
qatiykachakuy,persecution,s.,persecución,qatiykachakuy,qatiykachakuy,
qatiykachay,to persecute; to persecute; to torment,v.tr.,perseguir,qatiykachay,qatiykachay,
qatqa,rough,.,aspero; rugoso; picado,,,
qatqay,to scrape; to claw; to rasp,v.tr.,rascar con algo,,,
qawa,sprout of a tuber,s.(bot.ana),brote de un tubérculo,,,
qaway,to break the sprout of a tuber,v.tr.(agr),romper los brotes del tubérculo,,,
qawcha,"karwinchu (kind of wild plant, an illa of potato)",s.(bot),"carhuincho (especie de planta, una illa de la papa)",,,
qawchi,[the sound of a donkey],interj.onom.,[ruido de burro],,,
qawchiqiy,to low (animal),v.dic.,bramar,,,
qawchu,worker,s.a.,trabajador; obrero,,,
qawi,dried in the sun,adj.,asoleado; pasado al sol; deshidratado; rugoso,qawi,qawi,
qawi,oca dried in the sun,s.,oca asoleada y seca,,,
qawichiy,to have plants dried in the sun by ...,v.tr.,hacer asolear; hacer asolear la oca; asolear (oca u otros productos),,,
Qawillaqa,female deity (wak'a) in the tales of Waruchiri; (Span.) Cahuillaca; (orig.) Cauillaca; Cauellaca,s.(mit),deidad (huaca) femenina de los cuentos de Huarochirí; (esp.) Cahuillaca; (orig.) Cauillaca; Cauellaca,,,
qawiña,ruin,s.,ruina,,,
qawiqrusqa,faded; depressed,p.p.p.,marchito,,,
qawisqa,faded; depressed,p.p.p.(1),marchito; descolorado; presionado,,,
qawisqa,dried in the sun,p.p.p.(2),asoleado; pasado al sol; soleado,,,
qawiy,to fade; to wither,v.intr.,marchitarse; marchitar,,,
qawiy,to dry plants in the sun,v.tr.(1),asolear la oca y otras plantas; poner la oca al sol,,,
qawiy,to stir; to rock; to row; to shake,v.tr.(2),revolver; mover; batir algún potaje; mecer; remar,,,
qawni,maize stalk dried for fodder,s.,tallo verde de maíz que se hace secar para forraje,,,
qayachakuy,to call; to shout,v.dic.,llamar; gritar; invitar,,,
qayachay,to scream; to shout; to yell,v.dic.,gritar,,,
qayachiy,to address oneself to; to apply to; to convoke,v.tr.,recurrir; convocar,,,
qayakuy,to call; to invite,v.tr.,llamar; invitar,,,
qayamuy,to go to call someone,v.tr.,ir a llamar a alguien,,,
qayanqillqa,headword; slogan; theorem; proposition,s.,lema,,,
qayapay,to insult,v.tr.,insultar,,,
qayapayay,to drive attention to; to berate; to rebuke,v.tr.,llamar la atención; reprender,,,
qaya-qaya,mora herb,s.(bot),yerba mora,qaya-qaya,qaya-qaya,
qayara,plant like Isabela but smaller,s.(bot),planta como Isabela pero más pequeña,,,
qayariy,to call; to cry; to shout; to scream; to bark; to sing (bird); to shout; to yell; to roar; to scream; to shout,v.dic.,gritar; vocear; vociferar; bramar; llamar; ladrar; cantar (pájaro); gritar; llamar a voces,,,arch'ukiña; art'aña; warariña; aru-aptaña
qayay,to call; to shout,v.dic.,llamar; gritar; invitar,,,tumpthapiña
qayay,to call; to invite,v.tr.,llamar; invitar,,,
qaykuy,to lock up in a corral,v.tr.,encerrar en un corral; encorralar,,,
qaylla,near; close; neighbouring; adjoining,adj.,cercano; adyacente; próximo; inmediato,qaylla,qaylla,jak'a
qaylla,near; close,adv.l.,cerca; delante,,,jak'a
qaylla,in presence of; in front of the eyes of,postpos.,en presencia de; ante los ojos de,,,
qaylla,rim; point; tip; ending,s.(1),orilla; extremidad; estremidad; vallado,qaylla,qaylla,
qaylla,presence,s.(2),presencia,qaylla,qaylla,
qaylla,selvage; hem,s.(tex),orilla del tejido; ruedo del vestido,,,
qayllachay,to move closer; to approximate,v.tr.,aproximar; acercar; arrimar; hacer acercar,,,jak'achaña
qayllachiy,to move closer; to approximate; to present,v.tr.,aproximar; acercar; arrimar; hacer acercar; hacer aproximaciones; presentar,qayllachiy,qayllachiy,jak'achaña
qaylla kaq,neighbouring; adjoining; place; spot,adj.,adyacente,,,
qayllakuy,to approach; to come up; to come closer,v.intr.,aproximarse; acercarse,qayllakuy,qayllakuy,
qayllaman,towards,adv.l.,hacia,,,
qayllamanta,from near,adv.l.,de cerca,,,
qayllamanta ñiy,to describe,v.dic.,describir,qayllamanta niy,qayllamanta niy,
qayllan,border; rim; edge; boundary; frontier; hem; seam; selvage,s.pr.,borde; frontera,,,
qayllanchakuy,to approach; to come up; to come closer,v.intr.,aproximarse; acercarse; arrimarse,,,
qayllanchay,to move closer,v.tr.,aproximar; acercar; arrimar; hacer acercar,,,
qayllanpi,nearness,adv.l.,cercanía,,,
qayllapi,close,adv.l.,cerca,,,
qayllapi,near,postpos.,al lado de,,,
qayllapura,fellow citizen; neighbour; neighbor,adj.,convecinos; entrecercanos,,,
qayllapuy,to move something closer in favor of someone,v.tr.,acercárselo,,,
qayllata,hither,adv.l.,hacia aquí,,,
qayllay,to approach; to come close,v.mov.,acercarse,,,
qayllayachiy,to move closer,v.tr.,aproximar; acercar; arrimar,,,
qayllayniq,environment,s.,entorno,,,jak'anaka; jak'a chiqa; thiya
qayllitalla,very close,adv.l.,cerquita,,,jakitaki
qayllitanpi,very close,adv.l.,cerquita,,,
qayna,yesterday; last,adj.,de ayer; último; pasado; anterior; pretérito,qayna,qayna,
qayna,yesterday,adv.t.(1),ayer,qayna,qayna,
qayna,the last time; last time; once before; one before,adv.t.(2),la última vez; ayer; uno antes; vez pasada; antes; otro tiempo,qayna; hayna; k'ayna,qayna; hayna; k'ayna,masuru
qayna ch'isi,last evening,adv.t.,anoche,,,
qayna killa,last month,adv.t.,mes pasado,,,
qaynamanta,since yesterday,adv.t.,desde ayer,,,
qaynap qaynan,before yesterday,adv.t.,anteayer,,,
qayna p'unchaw,yesterday,adv.t.,ayer,qayna p'unchay; hayna p'unchay; q'anunchay,qayna p'unchay; hayna p'unchay; q'anunchay,
qayna tuta,night before yesterday; last night,adv.t.,antenoche; anoche,,,masayp'u
qayna wata,last year,adv.t.,el año pasado; antaño; el año pasado; año pasado,qayna wata; k'ayna wata ,qayna wata; k'ayna wata ,
qaynay,to spend the day; to spend time,v.intr.,pasar el día; cainar (Quichua became Spanish cainar),,,
qayninpa,before yesterday; day before yesterday; a few days ago; days before; the other time; last time,adv.t.,anteayer; antes de ayer; día antes de ayer; otra vez; vez pasada; días atrás; la otra vez; hace mucho tiempo,qaynimpa,qaynimpa,
qayninpa ch'isi,night before yesterday; last night,adv.t.,anteanoche,,,walayp'u; wasayp'u
qayninpa p'unchaw,before yesterday,adv.t.,anteayer,,,walüru; warüru; waluru
qayninpas,times of before,s.,épocas de antes,,,
qayninpa tuta,nights before,adv.t.,noches atrás,,,
qaynin p'unchaw,before yesterday; day before yesterday,adv.t.,anteayer,,,
qayniwanchay,yesterday,adv.t.,ayer,qayniwanchay,qayniwanchay,
qayqa,"vertigo; nausea; a psychic or energetic knot of energy released through healing, ritual or intiation work, often causing the initiate or patient to choke or dry heave",s.(med),"vértigo; náusea; nudo síquico o energético soltado por obra de curación, ritual or inciación, frecuentemente causando que el alumno espiritual o paciente se atore o jadee; malestar a causa de la muerte",qayqa,qayqa,
qayri,cousin,s.,primo,qayri,qayri,
qaysa,female,adj.,femenino,,,
qaysa wamra,girl,s.(fam),chica,,,
qaywimuy,to go to stir,v.tr.,ir a mover el líquido,,,
qaywina,spoon or ladle for stirring,s.,cuchara grande o paleta para mover un líquido; batidora,qaywina,qaywina,
qaywipuy,to stir for someone,v.tr.,movérselo el líquido,,,
qaywiq,who stirs,adj.,el que agita; movedor del líquido,,,
qaywiy,to stir,v.tr.,agitar o mover un líquido con una paleta o cuchara; remover,qaywiy,qaywiy,
qaywiysiy,to help to stir,v.tr.,ayudar a mover o agitar el líquido,,,
qichalita,kind of pidgeon,s.(zoo),una variedad de paloma,,,
qichichichiy,to crunch,v.intr.,crujir,,,
qichiy,to creak; to grate,v.intr.,chirriar; rechinar,,,
qichpa,first-born,adj.,primogenito,,,
qichqan,on the side,adv.l.,al costado,,,
qichqanpa,sidewards,adv.l.,de costado,,,
qichqarayay,to be reclined to the side; to lean on the side,v.intr.,estar reclinado de costado,,,
qichu,segment,s.,segmento,,,
qichu,subtraction,s.(mat),sustracción,,,
qichuchikuy,to have something taken away for oneself,v.tr.,dejarse quitar,,,
qichuchiy,to make take away,v.tr.,hacer quitar,,,
qichumuy,to go to take something away,v.tr.,ir a quitar algo,,,
qichunakuy,to fight over the possession of something,v.recip.,disputarse una cosa entre dos o más personas; disputar; debatir; porfiar; disputarse,qichunakuy,qechunakuy,
qichupa,discount,s.,descuento,,,
qichupuy,to take something away for someone,v.tr.,quitárselo,,,
qichuqay,to take down,v.tr.,bajar; quitar una parte,,,
qichuqay,to remain; to be left over,v.tr.(mat),restar,,,jakhuqaña
qichuta,segment,s.,segmento,,,
qichuy,to take away; to snatch; to appropiate; to carry off; to deprive,v.tr.,quitar; despojar; arrebatar; arrebatar alguna cosa; quitar arrebatar; despojar; quitar (mat -); excluir,qichuy; qhichuy,qechuy; qhechuy,apaqaña
qichuy,to subtract,v.tr.(mat),sustraer; quitar,qichuy; qhichuy,qechuy; qhechuy,jakhuqaña
qichuy akna,exclusion,s.,exclusión,,,
qikllay,metal,s.(min),metal,qikllay; qiklla,qikllay; qiklla,
qilla,lazy; idle; lethargic,adj.,"perezoso; holgazán; vago; ocioso; flojo, holgazán, perezoso; flojo; ocioso; perezoso; ocioso; flojo; negligente; haragán; poltrón",qilla,qella,jayra
qilla,laziness; idleness; moon,s.,pereza; ocio; haragán,qilla,qella; qilla,
qilla,kind of small bee,s.(zoo),una variedad de abeja pequeña,,,
qillakuna,laziness; idleness,s.,pereza; ocio,,,jayrasiña
qillakuq,lazy,s.a.,perezoso; desidioso,qillakuq,qellakuq,jayrasiri
qillakuy,laziness; idleness,s.,flojera; ociosidad,,,
qillakuy,to be lazy; to be idle,v.intr.,tener pereza; flojear; haraganear; holgazanear; mostrar desidia; tener flojera,qillakuy,qellakuy,
qillanayay,laziness; idleness,s.,flojera; ociosidad,,,
qillanayay,to be lazy; to be idle,v.intr.,tener pereza; flojear; haraganear; holgazanear,,,
qilla runa,lazy man,s.,hombre flojo,,,
qilla unquy,illness thought to be caused by laziness (more frequently used as a criticism for a lazy person),s.(med),enfermedad causada por pereza (frecuentemente usado para criticar personas ociosas),qilla unquy,qella onqoy,
qilla warmi,lazy woman,s.,mujer floja,,,
qillhuñuy kallanka,library,s.(neo),biblioteca,,,
qillita,kind of bird,s.(zoo),una variedad de pájaro,,,
qilliy,to meet; to come together,v.intr.,reunirse; juntarse,,,tantasiña
qillma,irony,s.,ironía; mofa,qillma,qellma,sawka
qillmu,kind of shrub,s.(bot),arbusto de las polemoniáceas,qillmu,qellmo,
qillpu,glory; good fortune,s.,gloria; fortuna; buena suerte; dicha; ventura,qillpu; qiypu,qellpu; qeypu,
qillpuy,to fill in liquid,v.tr.,llenar líquido,,,
qillqa,letter; letter (both meanings); writing; scripture; book; sign; discourse,s.,letra; carta; escritura; manuscrito; libro; cualquier escrito; carta; texto; discurso; pictografías indígenas (quelcas); nómina,qilqa; qillqa,qelqa; qellqa,qillqa
qillqachaq,printing works; printery,s.,imprenta,,,qillqsuri utt'awi
qillqachasqa,literal; verbatim,adj.,textual,,,aruchata
qillqachay,to print,v.tr.,imprimir,,,qillqsuña; ñit'suña
qillqachiy,to make write,v.tr.,hacer escribir; hacer firmar,,,
qillqachiy,to alphabetize,v.tr.(ass),alfabetizar,,,
qillqa kamachikuna,orthography,s.,ortografía; reglas ortográficas,,,
qillqa kamachiq,spelling rule,s.(neo),regla ortográfica,,,
qillqakamachiy,register,s.(neo),registro,,,
qillqakamachiy,to register,v.tr.(neo),registrar,,,
qillqa kamana,orthography,s.,ortografía; reglas ortográficas,qilqa kamana,qilqa kamana,aru qillqata; aru panka
qillqakamay,speech; language,s.,lenguaje,,,aru
qillqa kamayuq,writer; secretary,s.,escritor; escribiente; secretario; secretaria; escribano; el que escribe,qilqakamayuq,qelqakamayoq,
qillqaku,writing,s.,escritura,,,
qillqakunata musuqman kutiy,to copy,v.tr.,copiar,,,
qillqa maytu,book,s.(neo),libro,,,
qillqamuy,to go to write,v.tr.,ir a escribir,,,
qillqana,pen; pencil; writing utensil,s.(1),lápiz; lapicero; pluma (para escribir); bolígrafo; lapicero,qilqana,qelqana,
qillqana,desk,s.(2),escritorio,qilqana,qelqana,
qillqana k'aspi,pencil; pen; writing utensil,s.,lápiz,,,
qillqanancha,letter (of the alphabet),s.,grafía; letra,,,
qillqanancha,term (in algebra),s.(mat),término algebraico,,,
qillqanancha kamay,algebra,s.(mat),álgebra,,,
qillqananchapurachiy,to factor out (numbers),v.tr.(mat),reducir términos semejantes,,,
